Subject,Predicate,Object
feature tree,support,cardinality
uvl,author,chico sundermann
arithmetic level,support,numeric attribute
language extension,include,arithmetic major level
uvl,section,language level section
boolean level,allow,true literal
arithmetic level,provide function,len
uvl,constraint operator,>
uvl,model,variability
type level,use,optional concept include keyword
language extension,be,extensible target language
boolean level,use,! operator
type level,enable,optional concept include keyword
language level section,include,minor level
boolean level,group type include,optional
uvl,support,inclusion feature model
cross-tree constraints,utilize,aggregate function
uvl,be,extensible target language
uvl,aggregate function,avg
cross-tree constraints,be,key feature uvl
uvl,constraint operator,&
arithmetic level,support,feature attribute
uvl,use keyword,include
uvl,support function,ceil
feature tree,precede,cross-tree constraints
boolean level,be,major language level
feature tree,defines group type,or
uvl,support function,len
uvl,aggregate function,floor
cross-tree constraints,use,mul operator
boolean level,logical operator include,<=>
arithmetic level,enable,optional
test_models/type_level/,contain,nested/string-attributes-external.uvl
cross-tree constraints,allow,string literal expression
arithmetic operator,include,add
uvl,include,alternative group type
feature tree,include,alternative group type
uvl,author,david benavides
cross-tree constraints,support,comparison operator
uvl,constraint operator,<=
group type,include,or
boolean level,use,=> operator
arithmetic level,categorize,majorlevel
type level,test model,string-constraints
cross-tree constraints,support,logical implication
cross-tree constraints,support,aggregate function
logical operator,include,and
arithmetic level,use,great equal operator
boolean level,support,feature cardinality
type level,associate test file,string-attributes-external.uvl
cross-tree constraints,follow,feature tree section model structure
uvl,major level,arithmetic division
language-level modularity,be,key feature
cross-tree constraints,use,constraints keyword
aggregate function,include,ceil
group type,include,cardinality
test_models/type_level/,contain,string-constraints
minor level,include,string-constraints
aggregate function,include,len
type level,associate test file,uvl
type level,test model,string-quotes.uvl
major level,include,arithmetic division
boolean level,support,constraint attribute
minor level,include,group-cardinality
cross-tree constraints,use,aggregate-function minor level
uvl,have,python parser
arithmetic level,support,addition
arithmetic level,support,integer literal
uvl,arithmetic operator,*
cross-tree constraints,use,string-constraints
cross-tree constraints,support,sum function
language level section,comprise,minor level
arithmetic level,include,lower_equal operator
arithmetic level,support,multiplication
arithmetic level,be a,language level section
arithmetic operator,include,sub
boolean level,be,majorlevel
group type,include,mandatory
type level,be,uvl language level
uvl,minor level,aggregate-function
test_models/type_level/,contain,string-quotes.uvl
cross-tree constraints,use,great equal operator
boolean level,support,logical operator
arithmetic level,support,additive expression
boolean level,use,& operator
cross-tree constraints,define,arithmetic dependency feature
uvl,feature,cardinality
feature tree,contain,cardinality
boolean level,enable,optional
cross-tree constraints,permit,parenthesis grouping
cross-tree constraints,support,floor function
boolean level,logical operator include,&
logical constraint,define,dependencie feature
language extension,include,type major level
arithmetic level,include,arithmetic operator
arithmetic level,include,len function
type level,permit,string attribute
uvl,java parser package,uvl-parser
uvl,provide foundation,building parser
uvl,minor level,string-constraints
uvl,arithmetic operator,+
arithmetic level,provide function,floor
arithmetic level,support,division
uvl,minor level,group-cardinality
language extension,be,optional model section
boolean level,support,cardinality group type
uvl,minor level,feature-cardinality
language level section,use,optional concept include keyword
feature tree,identify,feature keyword
uvl,aggregate function,sum function
arithmetic level,use in,cross-tree constraints
boolean level,use,<=> operator
uvl,stand,uvl
uvl,be,extensible
cross-tree constraints,support,addition
arithmetic level,support,float literal expression
uvl,feature,import
uvl,support,language-level modularity
type level,associate directory,type_level/
uvl,be,unify variability language
cross-tree constraints,support,multiplication
uvl,include,arithmetic constraint
uvl,provide,pre-built parsers java
cross-tree constraints,consist,implication constraint
language extension,include,feature-cardinality minor level
logical operator,include,equivalence
uvl,defines group type,or
cross-tree constraints,support,arithmetic subtraction
arithmetic level,be,majorlevel
arithmetic level,support,feature cardinality
type level,support,boolean feature type
uvl,allow,constraint attribute
language extension,include,group-cardinality minor level
cross-tree constraints,support,ceil function
uvl,govern,gnu less general public license version 3
cross-tree constraints,use,lower_equal operator
uvl,base grammar file,uvl/uvllexer.g4
uvl,defines group type,cardinality
type level,enable,optional
cross-tree constraints,use,logical operator
type level,be a,type major level
arithmetic level,permit,numeric attribute
uvl,consist,optional model section
language level section,be,optional
type level,support,string constraint
constraint expression,support,parenthesis grouping
boolean level,classify,majorlevel
uvl,use keyword,feature keyword
language extension,implement,language level section
cross-tree constraints,use,equivalence operator
boolean level,allow inclusion,boolean* minor levels
uvl,base lexer grammar,uvl/uvllexer.g4
uvl,constraint operator,|
uvl,defines group type,optional
boolean level,logical operator include,!
uvl,constraint operator,=>
uvl,author,josé a. galindo
boolean level,test model,test_models/boolean_level/
uvl,support,import
uvl,be,concise
arithmetic level,minor level,string-constraints
arithmetic level,include,arithmetic constraint
feature tree,use,indentation
cross-tree constraints,define,dependencie feature
cross-tree constraints,reference,feature attribute
cross-tree constraints,allow,feature reference
arithmetic level,minor level,group-cardinality
minor level,include,aggregate-function
cross-tree constraints,can be,equality equation
feature,can have,featuretype
cross-tree constraints,follow,feature tree section grammar
language extension,include,boolean major level
uvl,extensible,different target language
arithmetic level,provide function,sum function
uvl,arithmetic operator,-
feature tree,include,feature attribute
feature tree,be,key feature uvl
arithmetic level,include,comparison operator
cross-tree constraints,utilize,floor function
uvl,support,multiple programming language
uvl,allow,language-specific grammar files
type level,test model,string-attributes-external.uvl
uvl,have,building parser
cross-tree constraints,can be,reference
arithmetic level,include,feature-cardinality minor level
uvl,constraint operator,==
boolean level,support,group
cross-tree constraints,consist,literal constraint
cross-tree constraints,support,logical negation
minor level,include,feature-cardinality
group type,include,optional
arithmetic level,include,division operator
feature,can have,featurecardinality
language extension,enable,language level section
test_models/type_level/,contain,string-attributes-external.uvl
type level,test model,uvl
uvl,have,base grammar ebnf form
uvl,section,import
language extension,optional section,reference uvl model
cross-tree constraints,allow,float literal expression
uvl language section,include,import
uvl,constraint operator,<
uvl,aggregate function,ceil
uvl,use keyword,cardinality
language extension,reside,language level section
uvl,support,arithmetic constraint
major language level,include,type
arithmetic operator,include,div
type level,associate test file,string-quotes.uvl
cross-tree constraints,support,great equation
feature tree,contain,alternative group type
boolean level,include,equivalence constraint
cross-tree constraints,consist,arithmetic constraint
arithmetic level,include,subtraction operator
boolean level,support,feature tree
uvl,support function,sum function
cross-tree constraints,support,logical operator
cross-tree constraints,define,logical constraint feature
arithmetic level,provide function,avg
uvl,feature,language-level modularity
uvl,use,antlr4
cross-tree constraints,include,aggregate function
uvl,provide,pre-built parsers python
uvl,author,rick rabiser
uvl,define,antlr4 parser generator
arithmetic level,enable,arithmetic subtraction
type level,be,major language level
cross-tree constraints,use,div operator
type level,test model,test_models/type_level/ directory
uvl,include,logical constraint feature
boolean level,logical operator include,|
cross-tree constraints,be,optional model section
boolean level,support,cross-tree constraints
boolean level,logical operator include,=>
uvl,use keyword,as
arithmetic level,include,floor function
uvl,feature,cross-tree constraints
boolean level,enable,optional concept include keyword
language extension,allow,majorlevel.asterisk pattern
feature tree,introduce,features_key
uvl,base grammar file,uvlparser
featuretype,can be,integer
uvl,model,software product line
boolean level,support,logical disjunction
major language level,include,arithmetic division
arithmetic level,enable,arithmetic constraint
cross-tree constraints,support,low equation
cross-tree constraints,declare,dedicated constraint section
uvl,constraint operator,>=
cross-tree constraints,support,avg aggregate function
cross-tree constraints,contain,multiplicative expression
type level,enable,aggregate function
aggregate function,include,sum function
uvl,support function,avg
cross-tree constraints,define,arithmetic constraint
cross-tree constraints,reference,feature keyword
feature tree,include,mandatory group type
type level,support,string feature type
uvl,use keyword,import
cross-tree constraints,support,equivalence
boolean level,support,namespace
uvl,enable,optional concept include keyword
uvl,author,kevin feichtinger
uvl,support,feature tree
uvl,feature,namespace
featuretype,can be,string
uvl,support function,floor
cross-tree constraints,support,equality equation
language level section,include,type major level
cross-tree constraints,define,logical dependency feature
feature tree,support,feature attribute
arithmetic level,test model directory,test_models/arithmetic_level/
cross-tree constraints,appear,listconstraintattribute
feature tree,contain,hierarchical feature
boolean level,include,notconstraint
uvl,support,cross-tree constraints
uvl,support type,boolean
uvl,provide foundation,building tool
arithmetic level,support,aggregate function
arithmetic level,minor level,aggregate-function
arithmetic level,provide function,ceil
uvl,arithmetic operator,/
featuretype,can be,real
boolean level,use keyword,boolean
arithmetic level,include,ceil function
cross-tree constraints,allow,integer literal
aggregate function,include,avg
cross-tree constraints,use,arithmetic language level
language extension,utilize,dot notation
uvl,support type,integer
cross-tree constraints,contain,constraint line
comparison operator,include,lower
arithmetic level,include,great equal operator
uvl,python parser package,uvlparser
uvl,allow,reference uvl model
aggregate function,include,floor
uvl,support,namespace
language extension,provide,language-level modularity
cross-tree constraints,declare,feature attribute
uvl,section,feature tree
uvl,use keyword,arithmetic constraint
uvl language section,include,feature tree
arithmetic operator,include,mul
comparison operator,include,great
type level,minor level,string-constraints
boolean level,group type include,mandatory
cross-tree constraints,use,operator
uvl,major level,boolean
uvl,major level,type
uvl,support,logical constraint feature
uvl,support type,string
arithmetic level,support,cross-tree constraints
uvl,section,cross-tree constraints
uvl language section,include,cross-tree constraints
arithmetic level,enable,optional concept include keyword
major level,include,boolean
major level,include,type
language level section,provide,optional
language level section,comprise,type major level
type level,associate test file,string-constraints
boolean level,support,logical implication
cross-tree constraints,include,arithmetic constraint
uvl,support type,real
uvl,allow,abstract feature
boolean level,support,mandatory feature
type level,permit,string constraint
uvl,use file extension,uvl
uvl,allow,value attribute
uvl,author,thomas thüm
boolean level,be,featuretype
type level,support,string attribute
logical operator,include,logical implication
uvl,section,namespace
