Subject,Predicate,Object
type level,include,type string-constraints
cross-tree constraints,include,equationconstraint
uvl,tool support,java meta model
uvl,integrate,featureide
cross-tree constraints,support,equivalence operation
feature tree,support,attribute
cross-tree constraints,allow,multiplication
cross-tree constraints,allow,division
uvl,support,group cardinality
uvl,grammar include,constraint
language extension,provide,additional language construct
cross-tree constraints,support,sumaggregate
cross-tree constraints,support,implication operation
string operation,include,len operation
cross-tree constraints,include,orconstraint
cross-tree constraints,support,avgaggregate
feature tree,include,mandatory feature
boolean level,include,group cardinality
type numeric-constraints,allow,floor
feature tree,support,optional
uvl,parser support,python
arithmetic core,use,<
arithmetic core,support,standard arithmetic operation
cross-tree constraints,allow,string comparison
uvl,integrate,flamapy.ide
uvl,integrate,travart
type level,allow,comparison string feature constraint
arithmetic level,include,attribute aggregate
arithmetic core,use,+
cross-tree constraints,be part of,uvl language core
cross-tree constraints,include,disjunction
type level,allow,lenconstraint
arithmetic level,include,arithmetic.feature-cardinality
uvl,use,tree-like structure
uvl,support,type string-constraints
boolean level,be,language level
boolean core,include,group
arithmetic core,support,*
uvl,grammar include,import
arithmetic core,support,/
boolean level,be,uvl language core
cross-tree constraints,include,equation
feature tree,contain,group
standard arithmetic operation,include,/
feature tree,support,mandatory feature
standard arithmetic operation,include,*
feature tree,be,tree-like structure
cross-tree constraints,allow,addition
cross-tree constraints,support,flooroperation
arithmetic core,support,>
feature tree,contain,attribute
uvl,include concept,optional
uvl,grammar include,group
