Subject,Predicate,Object
boolean level minor level,support,ddueruem
arithmetic operator,include,>
uvl,support,feature cardinality
arithmetic level constraint,include,numeric constraints feature attribute
uvl,integrate,featureide
type level,support,string comparison
uvl,represent,feature model
feature tree,denote relationship feature group,indentation
uvl,use,conversion strategy level
feature tree,know,feature diagram
uvl,support,alternative relationship
type-level constraints,include,string comparison
minor level,be,optional extension arithmetic level
boolean level minor level,be,language level
boolean level minor level,include,alternative relationship
boolean level cross-tree constraints,exclude,exclude constraint attribute
boolean level cross-tree constraints,binary expression include,/
boolean level cross-tree constraints,function include,length
type level,be,language level
feature tree,allow feature,arbitrary number group
boolean level cross-tree constraints,arithmetic level include,numeric constraints feature attribute
predicate,specify dependency base,string value
predicate,use,operator
aggregate function,include,avg
arithmetic level constraint,convert,convert boolean level
predicate,include,==
boolean level minor level,be,optional extension
arithmetic level constraint,support operator,-
language extension,allow user tailor model,tool limitation
arithmetic level constraint,include,arithmetic*
language extension,enable,expressiveness need
contextual clone constraint,ensure,configurability clone
type level,introduce,integer feature
boolean level minor level,support,nemo
boolean level cross-tree constraints,import submodel,apply compose model
language extension,preserve,simple core language
uvl,integrate,pure::variant
arithmetic level constraint,be,language level
uvl,be use for,educational instruction
uvl,dataset repository,uvlhub
uvl,have,formal semantic
boolean level cross-tree constraints,evaluate,true false
propositional logic operator,include,=>
uvl,support,aggregate function
language extension,follow,hierarchical order
predicate,include,>=
uvl,structure,type level
predicate,include,<
arithmetic level constraint,support operator,==
boolean level cross-tree constraints,specify dependency base,string value
boolean level cross-tree constraints,use operator,!
language extension,include,minor level
type level,have,high hierarchy
predicate,connect,term
uvl,use,antlr parser implementation
feature cardinality,be,optional extension arithmetic level
uvl,be,community-driven
arithmetic operator,include,-
uvl,structure,convert boolean level
uvl,parser implementation,python
boolean level cross-tree constraints,binary expression include,+
term,include,variable reference
uvl,open-source support tools,
language extension,include,major level
predicate,include,!=
arithmetic level constraint,support operator,>=
language extension,provide,construct cardinality
boolean level cross-tree constraints,combine,boolean variable
boolean level cross-tree constraints,predicate use operator,==
language extension,provide,string constraint
type level,support,uvls
arithmetic level constraint,support operator,/
arithmetic level constraint,support,travart
type level,support,equality check string
uvl,be,human-readable
arithmetic operator,include,==
boolean level minor level,influence,configuration validity
arithmetic level constraint,support,uvls
boolean level minor level,minor level,group cardinality
boolean level cross-tree constraints,compose model reference feature,reference feature namespace
boolean level cross-tree constraints,core language,exclude constraint attribute
type-level constraints,include,include string length check
uvl,integrate,travart
uvl,contain,cross-tree constraints
uvl,design goal,extensibility
boolean level cross-tree constraints,binary expression include,*
boolean level cross-tree constraints,type level,include string length check
arithmetic level model,grow exponentially size,convert boolean level
language extension,allow,vary type relationship
boolean level cross-tree constraints,predicate use operator,>=
boolean level cross-tree constraints,include,variable reference
boolean level cross-tree constraints,predicate use operator,<
language extension,translate,high level construct low level
boolean level minor level,support,flamapy
uvl,support,attribute
arithmetic level constraint,minor level,feature cardinality
propositional logic operator,include,&
arithmetic operator,include,>=
arithmetic level constraint,directly represent,smt problem
arithmetic operator,include,<
language extension,consist,major level
boolean level minor level,support,variability.dev
boolean level cross-tree constraints,use,propositional logic
language extension,extend,uvl core language
arithmetic operator,include,/
arithmetic level constraint,support,sum
language extension,accommodate,diverse modelling need
feature tree,feature,feature cardinality
compose model constraint,reference feature,namespace
boolean level cross-tree constraints,limit,propositional logic
boolean level minor level,encode,sit problem
term,include,constant
boolean level cross-tree constraints,predicate use operator,!=
arithmetic level constraint,support operator,<=
boolean level minor level,be,uvl core language
language extension,provide,construct type feature
valid configuration,satisfy,cross-tree constraints
boolean level cross-tree constraints,use operator,=>
boolean level cross-tree constraints,boolean variable refer,boolean-attribute key
arithmetic level constraint,support operator,+
feature tree,be,main component feature model
boolean level cross-tree constraints,include,binary expression
uvl,contain,feature tree
feature tree,use keyword specify,parent-child relationships
feature tree,support,mandatory group
type level,support,v4rdiac
boolean variable,refer,boolean-attribute key
term,include,function
uvl,integrate,nemo
arithmetic level constraint,support,v4rdiac
