Subject,Predicate,Object
uvl,composition inspiration,java package
uvl cross-tree constraints,support symbol !,
uvl,include,-order-logic formulas constraints
uvl cross-tree constraints,reference,feature name
uvl,specify,context-free grammar
uvl,logical operator,=>
feature tree,have,cross-tree constraints
uvl cross-tree constraints,support,! operator
uvl,support,feature attribute
future language extension,allow,use quantifier
uvl,use,namespace composition
uvl,logical operator,<=>
future language extension,enable,storage preference
feature tree,describe,block
future language extension,represent,tool-specific data elements
uvl,use,complete keyword
feature tree,similar,graphical feature-model notations
uvl,be use as,pivot language travart
feature tree,define,parent-child relationships
future language extension,store,preference
uvl cross-tree constraints,support,disjunction operator |
uvl,store,separate constraint
feature tree,contain,optional keyword
uvl,design,suitable teaching
uvl,support,cardinality
uvl,integrate,featureide
uvl,statement end,line-breaks
uvl,support,optional keyword
feature tree,describe,nest hierarchy
uvl,be,unify variability modeling language
uvl,support,implication operator
future language extension,store,layoute information
future language extension,include,-order-logic formulas constraints
uvl,support,composition
uvl,support,generic extension mechanism
uvl,developer,dominik engelhardt
-order-logic formulas,allow,use quantifier
uvl,cross-tree constraints limited,graphical notation
uvl cross-tree constraints,support,disjunction operator
feature tree,represent,feature diagram
uvl,author include,dominik engelhardt
extension mechanism,allow,storage tool-specific data
feature tree,component,variability model
uvl,developer,rick rabiser
uvl cross-tree constraints,utilize,propositional logic constraint
feature tree,represent,tree-hierarchy
future language extension,enable,storage layoute information
uvl,provide,real-world variability models
feature attribute,serve,generic extension mechanism
uvl,composition mechanism similar,java import system
uvl,availability,open-source
future language extension,simplify,tool-specific data elements
uvl cross-tree constraints,include,quantifier future version
uvl cross-tree constraints,use -order logic current uvl,
uvl,originate,modevar initiative
uvl,tooling,parser library
future extension,include,constraint feature attribute
uvl cross-tree constraints,limit,propositional logic current uvl
uvl,support,decomposition
uvl,use,-length keywords
uvl,cardinality notation,b
tool-specific data,include,preference
uvl cross-tree constraints,mark constraints keyword header uvl,
uvl,implement,designate mechanism extension
uvl cross-tree constraints,impose feature attribute future,
uvl cross-tree constraints,support,equivalence operator <=>
uvl cross-tree constraints,support logical operator negation,
uvl,block definition,indentation
future language extension,simplify,arbitrary datum
feature tree,define,feature model hierarchy
feature tree,describe,reference
uvl,provide,parser library
uvl,provide,default library printing
uvl,abbreviate,uvl
tool-specific data,include,layoute information
future language extension,be part of,uvl scope
feature tree,contain,abstract feature
uvl cross-tree constraints,include -order-logic formulas future,
uvl cross-tree constraints,support,operator
uvl,cross-tree constraints limited,propositional logic constraint
uvl,scale,real-world variability models
uvl,support,alternative keyword
feature tree,compose,sub-models
uvl,be a,textual variability language
uvl,developer,kevin feichtinger
uvl,support,abstract feature
uvl cross-tree constraints,store,-line declarations features
future language extension,allow,constraint feature attribute
uvl,design,human editable
feature tree,be part of,feature model
uvl,originate,modevar community effort
future language extension,include,extension mechanism arbitrary datum
uvl,be a,community effort
uvl,have,future extension consider
future language extension,include,use quantifier
uvl,integrate,travart
future language extension,facilitate,mapping implementation artifact
uvl,support,propositional logic constraint
feature tree,contain,alternative group
uvl,author include,rick rabiser
feature tree,be part of,variability model
feature tree,component,uvl
uvl cross-tree constraints,reference,namespace alias
uvl cross-tree constraints,support,implication operator
uvl,specification format,context-free grammar
uvl cross-tree constraints,support,implication operator =>
feature tree,specifie,hierarchy
uvl,support,alternative group
uvl,developer,thomas thüm
feature tree,specify,nest hierarchy
uvl cross-tree constraints,reach,3500 evaluated real-world models
uvl,use,ebnf notation
future language extension,utilize,feature attribute
uvl,author include,thomas thüm
feature tree,contain,thousand feature
-order-logic formulas,allow,constraint feature attribute
uvl cross-tree constraints,stored -line,feature declaration language
uvl,aim,unify language
uvl,community context,modevar initiative
uvl,tooling,printer library
uvl,use,indentation define block
future extension,include,dedicated language configuration
uvl,logical operator,!
feature tree,decompose,sub-models
feature tree,represent,feature block
uvl cross-tree constraints,place,feature tree uvl
extension mechanism,enable storage,arbitrary datum
uvl,intend,common textual exchange format
uvl,primary intention,common textual exchange format
feature tree,define,indentation define block
uvl,role travart,pivot language travart
uvl,keyword,or
uvl,provide,unify variability modeling language
extension mechanism,favor,half modevar participant
uvl cross-tree constraints,store feature tree block,
uvl,full name,uvl
future language extension,attaches,tool-specific data elements
feature tree,have,tree structure
uvl,author include,kevin feichtinger
