Subject,Predicate,Object
type level,represented,uvl xml format
uvl,is part of,spl conqueror
language extensions,can be,validated
boolean level,is above,type level
uvl,used for,weakset
uvl,used for,metadata
uvl,used for,importers
type level,used for,composite types
language extensions,purpose,extend uvl
uvl,used for,countqueuingstrategy
language extensions,adds,new language constructs
uvl,used for,examples
uvl,used for,statements
uvl,used for,in
uvl,used for,error
uvl,used for,maps
uvl,used for,packages
boolean level,constraints include,excludes
type level,used for,group level
uvl,used for,translators
uvl,used for,webassembly
uvl,used for,calls
uvl,used for,breaks
uvl,used for,websocket
uvl,used for,infinity
uvl,used for,localstorage
type level,used for,abstract features
uvl,used for,views
type level,described,uvl abstraction level
uvl,used for,environments
uvl,used for,branches
uvl,used for,functions
type level,is a,language level
uvl,used for,arguments
boolean level,representation,textual syntax
language extensions,requires,tool support
boolean level,described,uvlformal syntax
type level,includes,boolean type
uvl,used for,try
type level,includes,range type
uvl,used for,finally
type level,used for,feature types
uvl,used for,continues
uvl,used for,require
uvl,used for,while
uvl,used for,fetch
language extensions,related,uvl tooling
uvl,used for,managing variability
boolean level,is above,feature model level
uvl,used for,class
type level,is part of,uvl feature model
uvl,used for,textencoder
uvl,used for,streams
uvl,used for,components
uvl,used for,undefined
language extensions,defines,uvlmeta-model
language extensions,define,new section types
uvl,used for,history
language extensions,is a,concept
uvl,used for,processors
uvl,used for,dictionaries
uvl,used for,screen
language extensions,enable,domain-specific adaptations
language extensions,is part of,uvlextensibility mechanism
uvl,used for,trees
uvl,used for,registries
uvl,used for,charts
boolean level,is part of,uvl metamodel
uvl,used for,exporters
boolean level,includes,alternative groups
uvl,used for,platforms
type level,is above,group level
type level,specify,feature model header
boolean level,includes,features
uvl,used for,states
uvl,used for,benchmarks
uvl,used for,strings
uvl,used for,delete
uvl,used for,performancelayoutjank
language extensions,is part of,uvl meta model
uvl,is part of,featureide
uvl,used for,this
boolean level,includes,adding new constraints
type level,is a,uvl
uvl,used for,performanceobserverentrylist
uvl,used for,events
uvl,used for,validators
language extensions,enhance,expressiveness
