Subject,Predicate,Object
uvl,integrate,v4rdiac
uvl,design goal,expressiveness
boolean level,fully include,feature tree
feature tree,know,feature diagram
arithmetic level model,minor level,feature cardinality interaction
uvl,be,open-source format
arithmetic level model,support,travart
type level,support,uvl
uvl,contain,feature tree
language extension,implement,language level
type level,support,len function
uvl,stand,uvl
uvl,be use for,educational instruction
cross-tree constraints,uvl core language limit,propositional logic operator
language extension,consist,major level
boolean level,support,ddueruem
propositional logic operator,fully include,<=>
cross-tree constraints,type level,len function
arithmetic level model,support operator,>
cross-tree constraints,use operator,=>
language extension,follow,hierarchical order
feature tree,import,subtree
uvl,provide,import mechanism
cross-tree constraints,function include,average
boolean level,encode,sit problem
feature tree,contain,thousand feature
include mechanism,allow user specify,language extension
boolean level,support,pure::variant
cross-tree constraints,use operator,!
arithmetic level model,support operator,+
feature tree,be,main component feature model
valid configuration,satisfy,attached cross-tree constraint
cross-tree constraints,represent,feature relationship
aggregate function,be,optional extension arithmetic level
uvl,integrate,uvl
uvl,dataset repository,uvlhub
cross-tree constraints,binary expression include,-
boolean level,encapsulate,language construct
arithmetic level model,support operator,>=
feature tree,allow composition,import mechanism
language extension,encapsulate,language construct
cross-tree constraints,predicate use,>=
include mechanism,ensure,tool compatibility
arithmetic level model,support operator,/
language extension,preserve,simple core language
language extension,specify,include keyword
type-level constraints,fully include,string comparison
boolean level,be,language level
cross-tree constraints,support,aggregate function
uvl,enable,decomposition large model
arithmetic level model,support,sum
type-level constraints,fully include,include string length check
feature tree,consist,feature name
feature tree,feature,feature attribute
cross-tree constraints,combine,boolean variable
arithmetic level constraint,support,arithmetic operator
type level,support,string comparison
cross-tree constraints,function include,sum
cross-tree constraints,type level include,string comparison
string constraint,be,optional extension
boolean level,store,feature information
cross-tree constraints,compose model,alias
feature tree,be,main uvl model
type level,support,travart
uvl,serve,pivot language
include mechanism,provide information,language level
arithmetic operator,fully include,-
cross-tree constraints,interact feature cardinality,contextual clone constraint
type level,minor level,string constraint
cross-tree constraints,use operator,|
uvl core language constraint,limit,propositional logic operator
uvl,be,community-driven
arithmetic level model,convert,boolean level
uvl,integrate,pure::variant
cross-tree constraints,predicate use,arithmetic operator
predicate,fully include,>=
boolean level,support,nemo
uvl,use,antlr parser implementation
cross-tree constraints cloned features,replace occurrence,clone feature
arithmetic level model,support operator,==
cross-tree constraints,predicate use,==
language extension,enhance,expressiveness
language extension,provide,type feature
feature tree,exist,attached cross-tree constraint
boolean variable,refer,boolean-attribute key
uvl,support,type feature
uvl,structure,arithmetic level
uvl,consist,feature tree
uvl,use,conversion strategy level
uvl,pivot model,travart
cross-tree constraints,boolean variable refer,boolean-attribute key
cross-tree constraints,be,arbitrary propositional formulae
uvl,integrate,travart
language extension,use,conversion strategy level
predicate,specify dependency base,numerical value
boolean level,fully include,attached cross-tree constraint
language extension,call,language level
arithmetic level constraint,fully include,numeric constraints feature attribute
feature tree,support,group cardinality
aggregate function,fully include,sum
uvl,contain,attached cross-tree constraint
cross-tree constraints,interact,feature cardinality interaction
contextual clone constraint,ensure,configurability clone
uvl,be,human-readable
aggregate function,fully include,avg
cross-tree constraints,arithmetic level,support arithmetic operator
type level,transform typed feature,boolean feature attribute
arithmetic operator,fully include,<=
feature tree,be,hierarchically arrange set feature
compose model constraint,reference feature,alias
cross-tree constraints,use operator,<=>
cross-tree constraints,impact,configuration space
cross-tree constraints,boolean variable refer,feature name
predicate,fully include,==
type level,introduce,string feature
uvl,have,formal syntax
uvl,parser implementation,python
uvl,integrate,nemo
arithmetic operator,fully include,<
cross-tree constraints,binary expression include,*
type level,introduce,integer feature
minor level,be,optional extension
language extension,allow user tailor model,tool limitation
predicate,use,arithmetic operator
feature tree,feature,feature cardinality interaction
feature tree,use keyword specify,parent-child relationships
cross-tree constraints,involve,contextual clone constraint
cross-tree constraints,term include,constant
cross-tree constraints,limit,propositional logic operator
group cardinality,be,boolean level
language extension,allow user tailor model,use case
boolean level,minor level,group cardinality
uvl,structure,boolean level
arithmetic level model,be,language level
arithmetic level model,support operator,-
language extension,allow,vary type relationship
cross-tree constraints,predicate use,!=
cross-tree constraints,function include,length
boolean level,support,variability.dev
